cell_id,center_lat,center_lon,ndvi_2018,ndvi_2021,ndvi_2024,ndvi_change_2015_2018,ndvi_change_2018_2021,ndvi_change_2021_2024,ndvi_total_change,ndvi_mean,ndvi_std,ndvi_accel,fragmentation_index,road_length_km,building_count,infra_pressure,urban_proximity_score,dist_to_cbd_km,rainfall_anomaly,rainfall_stress,gbif_observations,gbif_species_count,biodiversity_density,lag_stress_score,ecological_vulnerability_score,degradation_label,predicted_label,pred_confidence,latent_stress_1,latent_stress_2,latent_stress_3,latent_stress_score,latent_stress_norm,cluster,cluster_name
10,12.7045,77.3945,0.2528,0.1571,0.0961,-0.2532999999999999,-0.0957,-0.0609999999999999,-0.41,0.1686666666666666,0.0789877416649782,0.0347,0.4683,0.0,0,0.0,0.02651,36.7217,74.73000000000002,0,0.0,0.0,0.0,0.1047,0.2066,stable,stable,1.0,-154.0493,-6.8359,20.89,154.2009,0.0005,0,Vegetation-loss zone
11,12.7045,77.4035,0.2957,0.1449,0.1236,-0.5054000000000001,-0.1508,-0.0213,-0.6775,0.1880666666666667,0.093819631918556,0.1295,0.4989,0.0,0,0.0,0.026914,36.1552,56.040899653979245,0,0.0,0.0,0.0,0.1969,0.3214,stable,stable,0.86,-154.0482,-4.7978,3.0488,154.1229,0.0005,0,Vegetation-loss zone
12,12.7045,77.4125,0.1185,0.7986,0.4482,-0.7727999999999999,0.6800999999999999,-0.3504,-0.4431,0.4551,0.340102499255739,-1.0305,0.7473,0.0,0,0.0,0.027318,35.6064,56.040899653979245,0,0.0,0.0,0.0,0.2318,0.2374,stable,stable,0.84,-154.0482,-4.6872,2.904,154.1195,0.0005,0,Vegetation-loss zone
13,12.7045,77.4215,0.2557,0.2329,0.2346,-0.5972999999999999,-0.0227999999999999,0.0017,-0.6184,0.2410666666666666,0.0127013122681608,0.0244999999999999,0.0527,0.0,0,0.0,0.027719,35.0761,56.040899653979245,0,0.0,0.0,0.0,0.186,0.2699,stable,stable,1.0,-154.0481,-4.5781,2.7611,154.1161,0.0005,0,Vegetation-loss zone
14,12.7045,77.4305,0.4902,0.5285,0.3492,-0.1901,0.0382999999999999,-0.1792999999999999,-0.3311,0.4559666666666666,0.0944249084369867,-0.2175999999999998,0.2071,0.0,0,0.0,0.028117,34.5652,56.040899653979245,0,0.0,0.0,0.0,0.057,0.158,stable,stable,1.0,-154.0481,-4.4745,2.6251,154.113,0.0005,0,Vegetation-loss zone
15,12.7045,77.4395,0.2576,0.4007,0.21565,-0.2829,0.0907,-0.1794999999999999,-0.3311499999999999,0.2913166666666666,0.0970231200968786,-0.2701999999999999,0.333,0.0,0,0.0,0.028511,34.0745,103.44999999999982,0,0.0,0.0,0.0,0.0849,0.1656,stable,stable,1.0,-154.0506,-9.2529,47.3706,154.3283,0.0005,0,Vegetation-loss zone
16,12.7045,77.4485,0.2576,0.4007,0.21565,-0.2829,0.0907,-0.1794999999999999,-0.3311499999999999,0.2913166666666666,0.0970231200968786,-0.2701999999999999,0.333,0.0,0,0.0,0.028898,33.6048,56.040899653979245,0,0.0,0.0,0.0,0.0849,0.1657,stable,stable,1.0,-154.048,-4.2794,2.3696,154.1074,0.0005,0,Vegetation-loss zone
17,12.7045,77.4575,0.2576,0.4007,0.21565,-0.2829,0.0907,-0.1794999999999999,-0.3311499999999999,0.2913166666666666,0.0970231200968786,-0.2701999999999999,0.333,0.0,0,0.0,0.029276,33.1572,56.040899653979245,0,0.0,0.0,0.0,0.0849,0.1658,stable,stable,1.0,-154.0479,-4.1884,2.2504,154.1048,0.0005,0,Vegetation-loss zone
18,12.7045,77.4665,0.2576,0.4007,0.21565,-0.2829,0.0907,-0.1794999999999999,-0.3311499999999999,0.2913166666666666,0.0970231200968786,-0.2701999999999999,0.333,0.0,0,0.0,0.029645,32.7325,56.040899653979245,0,0.0,0.0,0.0,0.0849,0.1659,stable,stable,1.0,-154.0479,-4.1021,2.1373,154.1025,0.0005,0,Vegetation-loss zone
19,12.7045,77.4755,0.2576,0.4007,0.21565,-0.2829,0.0907,-0.1794999999999999,-0.3311499999999999,0.2913166666666666,0.0970231200968786,-0.2701999999999999,0.333,0.0,0,0.0,0.030002,32.3315,56.040899653979245,0,0.0,0.0,0.0,0.0849,0.1659,stable,stable,1.0,-154.0478,-4.0206,2.0305,154.1003,0.0005,0,Vegetation-loss zone
20,12.7045,77.4845,0.2576,0.4007,0.21565,-0.2829,0.0907,-0.1794999999999999,-0.3311499999999999,0.2913166666666666,0.0970231200968786,-0.2701999999999999,0.333,0.0,0,0.0,0.030344,31.9553,103.44999999999982,0,1624.0,73.0,22.2466,0.0849,0.166,stable,stable,1.0,1470.1468,60.0879,59.1806,1471.3742,0.0063,0,Vegetation-loss zone
21,12.7045,77.4935,0.2576,0.4007,0.21565,-0.2829,0.0907,-0.1794999999999999,-0.3311499999999999,0.2913166666666666,0.0970231200968786,-0.2701999999999999,0.333,0.0,0,0.0,0.03067,31.6047,56.040899653979245,0,0.0,0.0,0.0,0.0849,0.1661,stable,stable,1.0,-154.0478,-3.8728,1.837,154.0964,0.0005,0,Vegetation-loss zone
22,12.7045,77.5025,0.2576,0.4007,0.21565,-0.2829,0.0907,-0.1794999999999999,-0.3311499999999999,0.2913166666666666,0.0970231200968786,-0.2701999999999999,0.333,0.0,0,0.0,0.030978,31.2805,56.040899653979245,0,0.0,0.0,0.0,0.0849,0.1661,stable,stable,1.0,-154.0477,-3.8069,1.7507,154.0947,0.0005,0,Vegetation-loss zone
23,12.7045,77.5115,0.2576,0.4007,0.21565,-0.2829,0.0907,-0.1794999999999999,-0.3311499999999999,0.2913166666666666,0.0970231200968786,-0.2701999999999999,0.333,0.0,0,0.0,0.031266,30.9835,56.040899653979245,0,0.0,0.0,0.0,0.0849,0.1662,stable,stable,1.0,-154.0477,-3.7465,1.6716,154.0932,0.0005,0,Vegetation-loss zone
24,12.7045,77.5205,0.2576,0.4007,0.21565,-0.2829,0.0907,-0.1794999999999999,-0.3311499999999999,0.2913166666666666,0.0970231200968786,-0.2701999999999999,0.333,0.0,0,0.0,0.031531,30.7147,56.040899653979245,0,0.0,0.0,0.0,0.0849,0.1663,stable,stable,1.0,-154.0477,-3.6919,1.6,154.0919,0.0005,0,Vegetation-loss zone
25,12.7045,77.5295,0.2576,0.4007,0.21565,-0.2829,0.0907,-0.1794999999999999,-0.3311499999999999,0.2913166666666666,0.0970231200968786,-0.2701999999999999,0.333,0.0,0,0.0,0.031772,30.4746,122.12000000000012,0,0.0,0.0,0.0,0.0849,0.1663,stable,stable,1.0,-154.0513,-10.4421,64.0844,154.4048,0.0005,0,Vegetation-loss zone
26,12.7045,77.5385,0.2576,0.4007,0.21565,-0.2829,0.0907,-0.1794999999999999,-0.3311499999999999,0.2913166666666666,0.0970231200968786,-0.2701999999999999,0.333,0.0,0,0.0,0.031986,30.264,56.040899653979245,0,0.0,0.0,0.0,0.0849,0.1664,stable,stable,1.0,-154.0476,-3.6003,1.48,154.0897,0.0005,0,Vegetation-loss zone
27,12.7045,77.5475,0.2576,0.4007,0.21565,-0.2829,0.0907,-0.1794999999999999,-0.3311499999999999,0.2913166666666666,0.0970231200968786,-0.2701999999999999,0.333,0.0,0,0.0,0.032171,30.0836,56.040899653979245,0,0.0,0.0,0.0,0.0849,0.1664,stable,stable,1.0,-154.0476,-3.5636,1.4319,154.0888,0.0005,0,Vegetation-loss zone
28,12.7045,77.5565,0.2576,0.4007,0.21565,-0.2829,0.0907,-0.1794999999999999,-0.3311499999999999,0.2913166666666666,0.0970231200968786,-0.2701999999999999,0.333,0.0,0,0.0,0.032327,29.9338,56.040899653979245,0,0.0,0.0,0.0,0.0849,0.1664,stable,stable,1.0,-154.0476,-3.5332,1.392,154.0881,0.0005,0,Vegetation-loss zone
29,12.7045,77.5655,0.2576,0.4007,0.21565,-0.2829,0.0907,-0.1794999999999999,-0.3311499999999999,0.2913166666666666,0.0970231200968786,-0.2701999999999999,0.333,0.0,0,0.0,0.032452,29.8151,56.040899653979245,0,0.0,0.0,0.0,0.0849,0.1664,stable,stable,1.0,-154.0476,-3.509,1.3604,154.0875,0.0005,0,Vegetation-loss zone
30,12.7045,77.5745,0.2576,0.4007,0.21565,-0.2829,0.0907,-0.1794999999999999,-0.3311499999999999,0.2913166666666666,0.0970231200968786,-0.2701999999999999,0.333,0.0,0,0.0,0.032544,29.7279,155.92999999999984,0,1592.0,92.0,17.3043,0.0849,0.1665,stable,stable,1.0,1438.0962,72.372,111.7986,1439.9162,0.0061,0,Vegetation-loss zone
31,12.7045,77.5835,0.2576,0.4007,0.21565,-0.2829,0.0907,-0.1794999999999999,-0.3311499999999999,0.2913166666666666,0.0970231200968786,-0.2701999999999999,0.333,0.0,0,0.0,0.032602,29.6725,56.040899653979245,0,0.0,0.0,0.0,0.0849,0.1665,stable,stable,1.0,-154.0475,-3.48,1.3225,154.0868,0.0005,0,Vegetation-loss zone
32,12.7045,77.5925,0.2576,0.4007,0.21565,-0.2829,0.0907,-0.1794999999999999,-0.3311499999999999,0.2913166666666666,0.0970231200968786,-0.2701999999999999,0.333,0.0,0,0.0,0.032627,29.649,56.040899653979245,0,0.0,0.0,0.0,0.0849,0.1665,stable,stable,1.0,-154.0475,-3.4753,1.3162,154.0867,0.0005,0,Vegetation-loss zone
33,12.7045,77.6015,0.2576,0.4007,0.21565,-0.2829,0.0907,-0.1794999999999999,-0.3311499999999999,0.2913166666666666,0.0970231200968786,-0.2701999999999999,0.333,0.0,0,0.0,0.032618,29.6575,56.040899653979245,0,0.0,0.0,0.0,0.0849,0.1665,stable,stable,1.0,-154.0475,-3.477,1.3185,154.0868,0.0005,0,Vegetation-loss zone
34,12.7045,77.6105,0.2576,0.4007,0.21565,-0.2829,0.0907,-0.1794999999999999,-0.3311499999999999,0.2913166666666666,0.0970231200968786,-0.2701999999999999,0.333,0.0,0,0.0,0.032575,29.698,56.040899653979245,0,0.0,0.0,0.0,0.0849,0.1665,stable,stable,1.0,-154.0475,-3.4852,1.3293,154.087,0.0005,0,Vegetation-loss zone
35,12.7045,77.6195,0.2576,0.4007,0.21565,-0.2829,0.0907,-0.1794999999999999,-0.3311499999999999,0.2913166666666666,0.0970231200968786,-0.2701999999999999,0.333,0.0,0,0.0,0.032499,29.7704,155.92999999999984,0,0.0,0.0,0.0,0.0849,0.1665,stable,stable,1.0,-154.0531,-13.7777,95.9003,154.6679,0.0005,0,Vegetation-loss zone
36,12.7045,77.6285,0.2576,0.4007,0.21565,-0.2829,0.0907,-0.1794999999999999,-0.3311499999999999,0.2913166666666666,0.0970231200968786,-0.2701999999999999,0.333,0.0,0,0.0,0.032389,29.8745,56.040899653979245,0,0.0,0.0,0.0,0.0849,0.1664,stable,stable,1.0,-154.0476,-3.5211,1.3763,154.0878,0.0005,0,Vegetation-loss zone
37,12.7045,77.6375,0.2576,0.4007,0.21565,-0.2829,0.0907,-0.1794999999999999,-0.3311499999999999,0.2913166666666666,0.0970231200968786,-0.2701999999999999,0.333,0.0,0,0.0,0.032248,30.0098,56.040899653979245,0,0.0,0.0,0.0,0.0849,0.1664,stable,stable,1.0,-154.0476,-3.5486,1.4123,154.0884,0.0005,0,Vegetation-loss zone
38,12.7045,77.6465,0.2576,0.4007,0.21565,-0.2829,0.0907,-0.1794999999999999,-0.3311499999999999,0.2913166666666666,0.0970231200968786,-0.2701999999999999,0.333,0.0,0,0.0,0.032076,30.176,56.040899653979245,0,0.0,0.0,0.0,0.0849,0.1664,stable,stable,1.0,-154.0476,-3.5824,1.4565,154.0892,0.0005,0,Vegetation-loss zone
39,12.7045,77.6555,0.2576,0.4007,0.21565,-0.2829,0.0907,-0.1794999999999999,-0.3311499999999999,0.2913166666666666,0.0970231200968786,-0.2701999999999999,0.333,0.0,0,0.0,0.031875,30.3726,56.040899653979245,0,0.0,0.0,0.0,0.0849,0.1663,stable,stable,1.0,-154.0476,-3.6224,1.5089,154.0902,0.0005,0,Vegetation-loss zone
40,12.7045,77.6645,0.2576,0.4007,0.21565,-0.2829,0.0907,-0.1794999999999999,-0.3311499999999999,0.2913166666666666,0.0970231200968786,-0.2701999999999999,0.333,0.0,0,0.0,0.031647,30.599,50.980000000000246,0,21.0,20.0,1.05,0.0849,0.1663,stable,stable,1.0,-133.0232,16.0599,0.1619,133.9891,0.0004,0,Vegetation-loss zone
41,12.7045,77.6735,0.2576,0.4007,0.21565,-0.2829,0.0907,-0.1794999999999999,-0.3311499999999999,0.2913166666666666,0.0970231200968786,-0.2701999999999999,0.333,0.0,0,0.0,0.031393,30.8545,56.040899653979245,0,0.0,0.0,0.0,0.0849,0.1662,stable,stable,1.0,-154.0477,-3.7203,1.6372,154.0926,0.0005,0,Vegetation-loss zone
42,12.7045,77.6825,0.2576,0.4007,0.21565,-0.2829,0.0907,-0.1794999999999999,-0.3311499999999999,0.2913166666666666,0.0970231200968786,-0.2701999999999999,0.333,0.0,0,0.0,0.031115,31.1384,56.040899653979245,0,0.0,0.0,0.0,0.0849,0.1662,stable,stable,1.0,-154.0477,-3.778,1.7128,154.094,0.0005,0,Vegetation-loss zone
43,12.7045,77.6915,0.2576,0.4007,0.21565,-0.2829,0.0907,-0.1794999999999999,-0.3311499999999999,0.2913166666666666,0.0970231200968786,-0.2701999999999999,0.333,0.0,0,0.0,0.030817,31.45,56.040899653979245,0,0.0,0.0,0.0,0.0849,0.1661,stable,stable,1.0,-154.0477,-3.8414,1.7958,154.0956,0.0005,0,Vegetation-loss zone
44,12.7045,77.7005,0.2576,0.4007,0.21565,-0.2829,0.0907,-0.1794999999999999,-0.3311499999999999,0.2913166666666666,0.0970231200968786,-0.2701999999999999,0.333,0.0,0,0.0,0.030499,31.7884,56.040899653979245,0,0.0,0.0,0.0,0.0849,0.166,stable,stable,1.0,-154.0478,-3.9102,1.8859,154.0974,0.0005,0,Vegetation-loss zone
45,12.7045,77.7095,0.2576,0.4007,0.21565,-0.2829,0.0907,-0.1794999999999999,-0.3311499999999999,0.2913166666666666,0.0970231200968786,-0.2701999999999999,0.333,0.0,0,0.0,0.030163,32.1528,50.980000000000246,0,0.0,0.0,0.0,0.0849,0.166,stable,stable,1.0,-154.0475,-3.4635,-2.8076,154.0865,0.0005,0,Vegetation-loss zone
46,12.7045,77.7185,0.2576,0.4007,0.21565,-0.2829,0.0907,-0.1794999999999999,-0.3311499999999999,0.2913166666666666,0.0970231200968786,-0.2701999999999999,0.333,0.0,0,0.0,0.029813,32.5423,56.040899653979245,0,0.0,0.0,0.0,0.0849,0.1659,stable,stable,1.0,-154.0479,-4.0634,2.0866,154.1014,0.0005,0,Vegetation-loss zone
47,12.7045,77.7275,0.2576,0.4007,0.21565,-0.2829,0.0907,-0.1794999999999999,-0.3311499999999999,0.2913166666666666,0.0970231200968786,-0.2701999999999999,0.333,0.0,0,0.0,0.02945,32.9561,56.040899653979245,0,0.0,0.0,0.0,0.0849,0.1658,stable,stable,1.0,-154.0479,-4.1475,2.1968,154.1037,0.0005,0,Vegetation-loss zone
48,12.7045,77.7365,0.2576,0.4007,0.21565,-0.2829,0.0907,-0.1794999999999999,-0.3311499999999999,0.2913166666666666,0.0970231200968786,-0.2701999999999999,0.333,0.0,0,0.0,0.029076,33.3931,56.040899653979245,0,0.0,0.0,0.0,0.0849,0.1657,stable,stable,1.0,-154.0479,-4.2364,2.3132,154.1062,0.0005,0,Vegetation-loss zone
49,12.7045,77.7455,0.2576,0.4007,0.21565,-0.2829,0.0907,-0.1794999999999999,-0.3311499999999999,0.2913166666666666,0.0970231200968786,-0.2701999999999999,0.333,0.0,0,0.0,0.028692,33.8526,56.040899653979245,0,0.0,0.0,0.0,0.0849,0.1657,stable,stable,1.0,-154.048,-4.3298,2.4356,154.1088,0.0005,0,Vegetation-loss zone
50,12.7045,77.7545,0.2576,0.4007,0.21565,-0.2829,0.0907,-0.1794999999999999,-0.3311499999999999,0.2913166666666666,0.0970231200968786,-0.2701999999999999,0.333,0.0,0,0.0,0.028302,34.3336,22.780000000000086,0,0.0,0.0,0.0,0.0849,0.1656,stable,stable,1.0,-154.0462,-1.0053,-28.92,154.0495,0.0005,0,Vegetation-loss zone
51,12.7045,77.7635,0.2576,0.4007,0.21565,-0.2829,0.0907,-0.1794999999999999,-0.3311499999999999,0.2913166666666666,0.0970231200968786,-0.2701999999999999,0.333,0.0,0,0.0,0.027906,34.8352,56.040899653979245,0,0.0,0.0,0.0,0.0849,0.1655,stable,stable,1.0,-154.0481,-4.5295,2.6972,154.1147,0.0005,0,Vegetation-loss zone
52,12.7045,77.7725,0.2576,0.4007,0.21565,-0.2829,0.0907,-0.1794999999999999,-0.3311499999999999,0.2913166666666666,0.0970231200968786,-0.2701999999999999,0.333,0.0,0,0.0,0.027505,35.3566,56.040899653979245,0,0.0,0.0,0.0,0.0849,0.1654,stable,stable,1.0,-154.0482,-4.6355,2.8361,154.1179,0.0005,0,Vegetation-loss zone
53,12.7045,77.7815,0.2576,0.4007,0.21565,-0.2829,0.0907,-0.1794999999999999,-0.3311499999999999,0.2913166666666666,0.0970231200968786,-0.2701999999999999,0.333,0.0,0,0.0,0.027103,35.8969,56.040899653979245,0,0.0,0.0,0.0,0.0849,0.1653,stable,stable,1.0,-154.0482,-4.7453,2.9799,154.1213,0.0005,0,Vegetation-loss zone
54,12.7045,77.7905,0.2576,0.4007,0.21565,-0.2829,0.0907,-0.1794999999999999,-0.3311499999999999,0.2913166666666666,0.0970231200968786,-0.2701999999999999,0.333,0.0,0,0.0,0.026699,36.4552,56.040899653979245,0,0.0,0.0,0.0,0.0849,0.1652,stable,stable,1.0,-154.0483,-4.8588,3.1286,154.1249,0.0005,0,Vegetation-loss zone
55,12.7045,77.7995,0.2576,0.4007,0.21565,-0.2829,0.0907,-0.1794999999999999,-0.3311499999999999,0.2913166666666666,0.0970231200968786,-0.2701999999999999,0.333,0.0,0,0.0,0.026295,37.0307,22.780000000000086,0,0.0,0.0,0.0,0.0849,0.1652,stable,stable,1.0,-154.0465,-1.5536,-28.2018,154.0543,0.0005,0,Vegetation-loss zone
56,12.7045,77.8085,0.2576,0.4007,0.21565,-0.2829,0.0907,-0.1794999999999999,-0.3311499999999999,0.2913166666666666,0.0970231200968786,-0.2701999999999999,0.333,0.0,0,0.0,0.025892,37.6227,56.040899653979245,0,0.0,0.0,0.0,0.0849,0.1651,stable,stable,1.0,-154.0484,-5.0962,3.4395,154.1327,0.0005,0,Vegetation-loss zone
57,12.7045,77.8175,0.2576,0.4007,0.21565,-0.2829,0.0907,-0.1794999999999999,-0.3311499999999999,0.2913166666666666,0.0970231200968786,-0.2701999999999999,0.333,0.0,0,0.0,0.02549,38.2304,56.040899653979245,0,0.0,0.0,0.0,0.0849,0.165,stable,stable,1.0,-154.0485,-5.2197,3.6013,154.1369,0.0005,0,Vegetation-loss zone
58,12.7045,77.8265,0.2576,0.4007,0.21565,-0.2829,0.0907,-0.1794999999999999,-0.3311499999999999,0.2913166666666666,0.0970231200968786,-0.2701999999999999,0.333,0.0,0,0.0,0.025092,38.853,56.040899653979245,0,0.0,0.0,0.0,0.0849,0.1649,stable,stable,1.0,-154.0485,-5.3463,3.7671,154.1413,0.0005,0,Vegetation-loss zone
59,12.7045,77.8355,0.2576,0.4007,0.21565,-0.2829,0.0907,-0.1794999999999999,-0.3311499999999999,0.2913166666666666,0.0970231200968786,-0.2701999999999999,0.333,0.0,0,0.0,0.024698,39.4899,56.040899653979245,0,0.0,0.0,0.0,0.0849,0.1648,stable,stable,1.0,-154.0486,-5.4757,3.9367,154.1459,0.0005,0,Vegetation-loss zone
60,12.7045,77.8445,0.2576,0.4007,0.21565,-0.2829,0.0907,-0.1794999999999999,-0.3311499999999999,0.2913166666666666,0.0970231200968786,-0.2701999999999999,0.333,0.0,0,0.0,0.024307,40.1403,25.180000000000064,0,0.0,0.0,0.0,0.0849,0.1647,stable,stable,1.0,-154.047,-2.4326,-25.102,154.0662,0.0005,0,Vegetation-loss zone
61,12.7045,77.8535,0.2576,0.4007,0.21565,-0.2829,0.0907,-0.1794999999999999,-0.3311499999999999,0.2913166666666666,0.0970231200968786,-0.2701999999999999,0.333,0.0,0,0.0,0.023921,40.8036,56.040899653979245,0,0.0,0.0,0.0,0.0849,0.1647,stable,stable,1.0,-154.0487,-5.7428,4.2865,154.1557,0.0005,0,Vegetation-loss zone
62,12.7045,77.8625,0.2576,0.4007,0.21565,-0.2829,0.0907,-0.1794999999999999,-0.3311499999999999,0.2913166666666666,0.0970231200968786,-0.2701999999999999,0.333,0.0,0,0.0,0.023541,41.4792,56.040899653979245,0,0.0,0.0,0.0,0.0849,0.1646,stable,stable,1.0,-154.0488,-5.8801,4.4664,154.161,0.0005,0,Vegetation-loss zone
63,12.7045,77.8715,0.2576,0.4007,0.21565,-0.2829,0.0907,-0.1794999999999999,-0.3311499999999999,0.2913166666666666,0.0970231200968786,-0.2701999999999999,0.333,0.0,0,0.0,0.023166,42.1665,56.040899653979245,0,0.0,0.0,0.0,0.0849,0.1645,stable,stable,1.0,-154.0489,-6.0198,4.6494,154.1665,0.0005,0,Vegetation-loss zone
64,12.7045,77.8805,0.2576,0.4007,0.21565,-0.2829,0.0907,-0.1794999999999999,-0.3311499999999999,0.2913166666666666,0.0970231200968786,-0.2701999999999999,0.333,0.0,0,0.0,0.022797,42.865,56.040899653979245,0,0.0,0.0,0.0,0.0849,0.1644,stable,stable,0.995,-154.049,-6.1618,4.8354,154.1721,0.0005,0,Vegetation-loss zone
65,12.7045,77.8895,0.2576,0.4007,0.21565,-0.2829,0.0907,-0.1794999999999999,-0.3311499999999999,0.2913166666666666,0.0970231200968786,-0.2701999999999999,0.333,0.0,0,0.0,0.022435,43.574,30.739999999999895,0,0.0,0.0,0.0,0.0849,0.1644,stable,stable,0.995,-154.0476,-3.7027,-18.9248,154.0921,0.0005,0,Vegetation-loss zone
66,12.7045,77.8985,0.2576,0.4007,0.21565,-0.2829,0.0907,-0.1794999999999999,-0.3311499999999999,0.2913166666666666,0.0970231200968786,-0.2701999999999999,0.333,0.0,0,0.0,0.022078,44.2931,56.040899653979245,0,0.0,0.0,0.0,0.0849,0.1643,stable,stable,0.995,-154.0491,-6.4521,5.2157,154.1842,0.0005,0,Vegetation-loss zone
67,12.7135,77.3045,0.1314,0.5016,0.3109,-0.2489,0.3702000000000001,-0.1907,-0.0694,0.3146333333333333,0.1851282348355683,-0.5609000000000001,0.5884,0.0,0,0.0,0.022981,42.5142,56.040899653979245,0,0.0,0.0,0.0,0.0747,0.0693,stable,stable,0.985,-154.0489,-6.091,4.7425,154.1693,0.0005,0,Vegetation-loss zone
68,12.7135,77.3135,0.4878,0.3971,0.243,0.091,-0.0907,-0.1541,-0.1538,0.3759666666666666,0.1237607503747991,-0.0633999999999999,0.3292,0.0,0,0.0,0.023365,41.7994,56.040899653979245,0,0.0,0.0,0.0,0.0272,0.0895,stable,stable,1.0,-154.0488,-5.9451,4.5513,154.1635,0.0005,0,Vegetation-loss zone
69,12.7135,77.3225,0.4198,0.3488,0.1666,-0.3829999999999999,-0.071,-0.1822,-0.6362,0.3117333333333333,0.1306063296066976,-0.1112,0.419,0.0,0,0.0,0.023756,41.0952,56.040899653979245,0,0.0,0.0,0.0,0.1362,0.2985,stable,stable,1.0,-154.0488,-5.8021,4.3642,154.158,0.0005,0,Vegetation-loss zone
